s,label,comment
http://psi.udir.no/ontologi/kl06/Spraaknivaa,Language level,"Element for fagkoder som er språkfag, og som angir nivåer etter CEFR-rammeverket"
http://psi.udir.no/ontologi/kl06/Spraaknivaa,Språknivå,"Element for fagkode (Subject-code) that are language subjects, and which indicate levels according to the CEFR framework"
http://psi.udir.no/ontologi/kl06/Spraaknivaa,Språknivå,"Element for fagkoder som er språkfag, og som angir nivåer etter CEFR-rammeverket"
http://psi.udir.no/ontologi/kl06/Status,Status,"Flag indicating whether the item is ""Publisert"" (""Published"" i.e. part of current offers), or ""Utgått"" (""Expired"" i.e. no longer offered)"
http://psi.udir.no/ontologi/kl06/Status,Status,"Flagg som angir om elementet det opptrer i er “Publisert” (del av gjeldende tilbud), eller “Utgått” (ikke lenger tilbudt)"
http://psi.udir.no/ontologi/kl06/Status,Status,"Flag indicating whether the item is ""Publisert"" (""Published"" i.e. part of current offers), or ""Utgått"" (""Expired"" i.e. no longer offered)"
http://psi.udir.no/ontologi/kl06/Status,Status,"Flagg som angir om elementet det opptrer i er “Publisert” (del av gjeldende tilbud), eller “Utgått” (ikke lenger tilbudt)"
http://psi.udir.no/ontologi/kl06/Tidligere_navn,Previous name,"Element som bærer informasjon om tidligere tittrl/navn/ordlyd på enten Utdanningsprogram, Programomraade eller Merknad, perioden disse egenskapene gjaldt, samt referanse til objektene som gjelder i dag."
http://psi.udir.no/ontologi/kl06/Tidligere_navn,Previous name,"Element that holds information about the previous title / name / formulation of either the Education-programme, Programme-area or Note, the period to which these properties applied, as well as a reference to the objects that apply today"
http://psi.udir.no/ontologi/kl06/Tidligere_navn,Tidligere navn,"Element som bærer informasjon om tidligere tittrl/navn/ordlyd på enten Utdanningsprogram, Programomraade eller Merknad, perioden disse egenskapene gjaldt, samt referanse til objektene som gjelder i dag."
http://psi.udir.no/ontologi/kl06/Tidligere_navn,Tidligere navn,"Element that holds information about the previous title / name / formulation of either the Education-programme, Programme-area or Note, the period to which these properties applied, as well as a reference to the objects that apply today"
http://psi.udir.no/ontologi/kl06/Trekkordning,Draw system,"Element for ""vurderingsordning"" (examination-and-assesment) to determine whether the subject is ""trekkfag"" (subject which examination you were drawn out in) or whether it is ""obligatorsik"" (mandatory) exam"
http://psi.udir.no/ontologi/kl06/Trekkordning,Draw system,Element for å angi om faget er trekkfag eller om det er obligatorisk eksamen
http://psi.udir.no/ontologi/kl06/Trekkordning,Trekkordning,"Element for ""vurderingsordning"" (examination-and-assesment) to determine whether the subject is ""trekkfag"" (subject which examination you were drawn out in) or whether it is ""obligatorsik"" (mandatory) exam"
http://psi.udir.no/ontologi/kl06/Trekkordning,Trekkordning,Element for å angi om faget er trekkfag eller om det er obligatorisk eksamen
http://psi.udir.no/ontologi/kl06/Tverrfaglig_tema_lk20,Interdisciplinary topic,"Element describing each of the three prioritized topics ""Health and life skills"", ""Democracy and citizenship"" and ""Sustainability"" (occurs in the individual curricula where they are considered relevant for the subject, and has its own subject-specific description)"
http://psi.udir.no/ontologi/kl06/Tverrfaglig_tema_lk20,Interdisciplinary topic,"Element som beskriver hver av de tre prioriterte temaene folkehelse og lvsmestring, demokrati og medborgerskap og bærekraftig utvikling (forekommer i de enkelte læreplanene der de er ansett som aktuelle for for faget, og har der sin egen fagspesifikke beskrivelse)"
http://psi.udir.no/ontologi/kl06/Tverrfaglig_tema_lk20,Tverrfaglig tema,"Element describing each of the three prioritized topics ""Health and life skills"", ""Democracy and citizenship"" and ""Sustainability"" (occurs in the individual curricula where they are considered relevant for the subject, and has its own subject-specific description)"
http://psi.udir.no/ontologi/kl06/Tverrfaglig_tema_lk20,Tverrfaglig tema,"Element som beskriver hver av de tre prioriterte temaene folkehelse og lvsmestring, demokrati og medborgerskap og bærekraftig utvikling (forekommer i de enkelte læreplanene der de er ansett som aktuelle for for faget, og har der sin egen fagspesifikke beskrivelse)"
